Artist,Classification,Continent,Country,Credit Line,Dated,Department,Dimension,Inscription,Medium,Nationality,Provenance,Rights Type,Room,Short Description,Signed,Style,Text,Title,Years Living
N/A, Glass,Europe,France,The William Hood Dunwoody Fund,12th-13th century,"Decorative Arts, Textiles and Sculpture","20 x 20 in. (50.8 x 50.8 cm)
32 x 25 x 2 1/8 in. (81.28 x 63.5 x 5.4 cm) (storage box)",N/A,Glass,N/A,N/A,Public Domain,Not on View,"framed panel of stained glass; represents sinner in Hades about to be tortured by a monster, with the devil standing beside them",N/A,12th-13th century,N/A,Stained glass panel,N/A
N/A, Sculpture,Asia,Thailand,The William Hood Dunwoody Fund,15th century,"Chinese, South and Southeast Asian Art",50 1/2 in. (128.27 cm),N/A,Bronze with traces of pigment,N/A,N/A,Public Domain,G213,"Buddha, bronze figure of, Marching. The figure, in marching position, is stiffle erect, the left foot forward; the left arm is bent at the elbow, the hand raised, palm outward; the right arm, braceleted at the elbow, is down. The ears are weighted, without earrings, and the hair, composed of small, spiky curls, is surmounted by a flame. Some of his features, which display the supernatural anatomy of Buddha, include projecting heels, long fingers, smooth skin the color of gold and elongated arms. The figure wears a straight, girdled robe,leaving the right shoulder bare. Traces of gilding remain on back of robe, under left arm, on hair and in ears.",N/A,15th century,"The walking Buddha is a sculpture type that flourished in Thailand?s Sukhothai kingdom during the 14th and 15th centuries. The Buddha, born Prince Sidartha, renounced his wealth and spent the rest of his life teaching throughout northern India. The Suhkothai Buddha image portrayed him simply and elegantly, with his heel lifted and eyes lowered, practicing walking meditation. Walking is one of four postures prescribed for meditational exercises in ancient Theravada Buddhist texts.  
Sukhothai artists were the first to create walking Buddha sculptures fully in the round. The type, however, has its roots in earlier images illustrating the Buddha descending from Tavatimsa heaven on a special ladder, after spending months there teaching his mother, who had died 7 days after his birth. It might also refer to the Buddha walking up and down a golden bridge in the third week following his Enlightenment.",Walking Buddha,N/A
N/A, Sculpture,Asia,China,The William Hood Dunwoody Fund,early 6th century,"Chinese, South and Southeast Asian Art",24 in. (60.96 cm),N/A,Grey earthenware with traces of pigment,N/A,N/A,Public Domain,G208,"Mortuary figures, pair of, representing warriors both wear armor, with curious head-dresses, and one carries a sword-like object. Four of these figures were found at the entrance of a tomb in Honan province. Two bought by M.I.A., and two by the Boston Museum of Fine Arts. They are fashioned of polychromed pottery of the greyish cast associated with Wei. Traces of faded terra cotta color remain. These are unusually large tomb figures.",N/A,6th century,"These guardian figures exhibit the classic elements of the mature Northern Wei style (386-584) including a rigid frontal pose, elongated torso and emphasis on lineal drapery patterns. The facial features are less stylized, however. With active and intent expressions, the heads turn, in contrast to the stiff flat bodies. These figures were unearthed along with two others at the entrance of a Northern Wei tomb in Southern Henan province. The four figures were likely placed against a wall where they functioned as guardians at the tomb door.",Tomb Guardian Figures,N/A
Artist: James Sharples, Drawings,Europe,England,Gift of James Ford and Louise H. Bell in memory of James S. and Sallie M. Bell,18th century,Prints and Drawings,10 5/8 x 8 3/4 in. (26.99 x 22.23 cm) (sheet),N/A,Pastel on paper,English,N/A,Public Domain,Not on View,"Portrait of William Collins. Arms folded, turned three-quarters towards spectator. Dark, disshveled hair, and sideburns. Dark eyes, under heavy dark eyebrows; looks directly at spectator. Black coat with high white waistcoat and neckcloth. Solid, dark grey background.",N/A,18th century,N/A,Portrait of William Collins,"English, 1718 - 1811"
Artist: James Sharples, Drawings,Europe,England,Gift of James Ford and Louise H. Bell in memory of James S. and Sallie M. Bell,18th century,Prints and Drawings,8 3/4 x 7 in. (22.23 x 17.78 cm) (sheet),N/A,Pastel on paper,English,N/A,Public Domain,Not on View,Portrait of Captain Parfitt. A swarthy gentleman with sideburns and dark straight hair brushed down over forehead. Slightly three-quarters pose. Black coat with high velvet collar and white stock and neck cloth of type fashionable about 1805. Solid dark grey background.,N/A,18th century,N/A,Portrait of Captain Parfitt,"English, 1718 - 1811"
Artist: Walter Shirlaw, Drawings,North America,United States,Gift of Mrs. Florence M. Shirlaw,19th century,Prints and Drawings,5 x 13 1/4 in. (12.7 x 33.66 cm),Signature,Watercolor,American,N/A,Public Domain,Not on View,N/A,LL,19th century,N/A,Montana Indian Reservation I,"American, 1838 - 1909"
N/A, Furniture,North America,United States,Gift of James F. and Louise H. Bell in memory of James S. and Sallie M. Bell,c. 1760-1770,"Decorative Arts, Textiles and Sculpture",39 1/4 x 21 x 14 1/2 in. (99.7 x 53.34 x 36.83 cm),N/A,"Mahogany, white pine",N/A,N/A,Public Domain,G336,N/A,N/A,18th century,N/A,Strapwork-back Chippendale side chair,N/A
N/A, Furniture,North America,United States,Gift of James F. and Louise H. Bell in memory of James S. and Sallie M. Bell,c. 1740-1760,"Decorative Arts, Textiles and Sculpture",42 1/2 x 17 x 15 1/4 in. (107.95 x 43.18 x 38.74 cm),N/A,"Walnut, white pine, damask",N/A,N/A,Public Domain,G336,"side chair; 'parrot back' with solid, vase-shaped splat; curved voluted cresting with raised shell in center, ending in clearly defined spirals; horseshoe shaped seat; front legs cabriole with shell design repeated on knees and terminating in Dutch angular feet; rear legs rounded and plain; solid spiral ears join front legs and skirting; upholstered in blue-green damask (modern)",N/A,18th century,N/A,Parrot-back side chair,N/A
N/A, Furniture,North America,United States,Gift of James  F. and Louise H. Bell in memory of James S. and Sallie M. Bell,c. 1800,"Decorative Arts, Textiles and Sculpture",36 1/2 x 20 1/2 x 17 1/2 in. (92.71 x 52.07 x 44.45 cm),N/A,Mahogany with modern upholstery,N/A,N/A,Public Domain,G337,"side chair; style of Sheraton; pierced splat, below a curved crest rail, displays variation and combination of urn and lyre motifs and drapery swags enclosed within narrow, tapering uprights, the whole surmounted by carved cresting; seat, serpentine front, upholstered in green satin; straight, square tapering legs",N/A,18th-19th century,N/A,Lyre-back Sheraton side chair,N/A
N/A, Furniture,North America,United States,Gift of James  F. and Louise H. Bell in memory of James S. and Sallie M. Bell,c. 1805-1815,"Decorative Arts, Textiles and Sculpture",34 1/2 x 19 3/4 x 16 1/2 in. (87.63 x 50.17 x 41.91 cm),N/A,"Mahogany, leather (modern)",N/A,N/A,Public Domain,G337,"side chair, Sheraton style; open back, with five slender moulded uprights in center, the three middle ones terminating in rosettes and the outer ones joined by moulding of crest rail; moulded slightly tapering legs, braced with four stretchers; maroon colored leather seat, serpentine front, edged with double row of brass nail heads",N/A,19th century,N/A,Bar-back side chair,N/A
N/A, Furniture,North America,United States,Gift of James F. and Louise H. Bell in memory of James S. and Sallie M. Bell,1800-1810,"Decorative Arts, Textiles and Sculpture",37 x 21 x 17 1/4 in. (93.98 x 53.34 x 43.82 cm),N/A,"Mahogany, maple, silk damask",N/A,N/A,Public Domain,G337,"side chair, Sheraton design; open back of 'diamond pattern'; rectangular panel carved with drapery swags in center of crest rail; straight molded legs taper slightly; underbraced with stretchers; seat upholstered in green silk damask (modern)",N/A,19th century,N/A,Trellis-back side chair,N/A
N/A, Glass,Asia,China,Gift of James F. and Louise H. Bell in memory of James S. and Sallie M. Bell,19th century,"Decorative Arts, Textiles and Sculpture",21 3/4 x 24 in. (55.25 x 60.96 cm),N/A,"Glass, paint, and lacquered wood",N/A,N/A,Public Domain,G336,"mirror with painting (in Chinese style) representing pavillion at water's edge on which three adults and a child are grouped about a table; a servant (?) approaches carrying a book; islands, temples, trees and a sailing junk in background; moulded walnut frame in four sections",N/A,19th century,N/A,Reverse painting with mirrored background,N/A
N/A, Woodwork,Europe,Spain,Gift of James F. and Louise H. Bell in memory of James S. and Sallie M. Bell,c. 1780-1790,"Decorative Arts, Textiles and Sculpture",38 x 16 1/4 in. (96.52 x 41.28 cm),N/A,Marble and gilded wood,N/A,N/A,Public Domain,Not on View,"frame of yellow-brown marble with slender pilasters at the sides, the whole enclosed in narrow band of partly-gilded wood; at top, a small rectangular and wooden painted panel enclosed in gilded frame, representing a monastary(?) surmounting this panel, a gilded basket of flowers with scrolls and festoons of leaves and berries; leaves and berries repeated at bottom",N/A,18th century,N/A,Bilbao Mirror,N/A
N/A, Furniture,North America,United States,Gift of James F. and Louise H. Bell in memory of James S. and Sallie M. Bell,c. 1770,"Decorative Arts, Textiles and Sculpture",82 x 40 x 22 in. (208.28 x 101.6 x 55.88 cm),N/A,Mahogany with white pine,N/A,N/A,Public Domain,Not on View,individual parts of the bookcase have not been assigned letter designations,N/A,18th century,N/A,Secretary bookcase,N/A
Maker: The Garvan Carver, Furniture,North America,United States,Gift of James F. and Louise H. Bell in memory of James S. and Sallie M. Bell,c. 1760?1780,"Decorative Arts, Textiles and Sculpture",31 x 34 x 21 in. (78.74 x 86.36 x 53.34 cm),N/A,"Mahogany, white pine, and brass (handles)",American,N/A,Public Domain,G332,lowboy; Chippendale type framed with carved quarter-round columns; lower center drawer displays pierced shell and foliate scrolls; ornate rococo carving decorates edge of apron and legs; cabriole legs with ball and claw feet; brass 'Bag Wing' drop handles,N/A,Chippendale,"The elaborate scroll and leaf decoration on this 18th-century dressing table derives from the style of English designer Thomas Chippendale.  The maker of this object became known as ""The Garvan Carver"" when a group of works in the Francis Garvan collection at Yale University were determined to be made by the same unidentified person.  Scholars continue to investigate the Garvan Carver, who is believed to have worked in Philadelphia.",Dressing table,"American (Philadelphia, Pennsylvania), active 1750?1770"
Artist: Spikey Leaf Carver, Furniture,North America,United States,Gift of James F. and Louise H. Bell in memory of James S. and Sallie M. Bell,c. 1760-1780,"Decorative Arts, Textiles and Sculpture",86 x 44 x 21 1/2 in. (218.44 x 111.76 x 54.61 cm),N/A,Mahogany and brass (handles),American,N/A,Public Domain,G332,Chippendale style,N/A,18th century,"Recent scholarship has suggested that the carving on this chest was done by an unknown craftsman, now called the ""Spikey Leaf Carver,"" as the spikey veins of his leaves run off the edge of the wood.",Highboy,American (Philadelphia)
N/A, Glass,North America,United States,Gift of James. F. and Louise H. Bell in memory of James S. and Sallie M. Bell,c. 1800,"Decorative Arts, Textiles and Sculpture",27 x 22 in. (68.58 x 55.88 cm),N/A,Lead glass,N/A,N/A,Public Domain,G337,"wall sconce, two-candle, Waterford type cut glass; three stems spring from central cup-shaped bracket, the two side ones terminating in candle-holders, and third, in center, terminating in eight-pointed star below which hang eight series of graduated oval crystal drops repeated at star-shaped bases of candle holders which are connected by two festoons of oval drops caught up in center by shell shaped ornament, central cup-shaped bracket rests upon concave eight-pointed star base, and from each point hang two oval drops, while one, much longer, hangs from center of base; wall connection, oval brass medallion, beaded and fluted",N/A,18th-19th century,N/A,Wall sconce,N/A
Artist: John Henry Twachtman, Paintings,North America,United States,Gift of the Martin B. Koon Memorial Collection,c. 1895,Paintings,"30 1/4 x 30 1/4 in. (76.84 x 76.84 cm) (canvas)
46 1/2 x 46 1/2 x 2 1/2 in. (118.11 x 118.11 x 6.35 cm) (outer frame)",N/A,Oil on canvas,American,N/A,Public Domain,G322,Landscape.,LR in brown: J.H.Twachtman,19th-20th century,"During the 1890s, John Henry Twachtman purchased a seventeen-acre farm near Greenwich, Connecticut. He set up his studio, and began to explore the land around the new farm, searching for new subject matter.  The white footbridge depicted here spanned Horseneck Brook, which ran through his property.  

Compression of pictorial space and the use of a strong diagonal reveal Twachtman's debt to, and admiration of, Japanese aesthetics.  The key elements of the composition (i.e., the brook, the bridge, and branches of the foreground tree) all converge and focus the viewpoint, while touches of emerald evergreens frame the white bridge for emphasis.
The gilded frame is original to the picture and is widely believed to be a design by the celebrated architect, Stanford White (1853-1906), whose firm, McKim, Mead & White designed the original building of the Minneapolis Institute of Arts.",The White Bridge,"American, 1853 - 1902"
